id,ident,type,name,lat,long,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
44296,UKFI,medium_airport,Saky Air Base,45.090611,33.598536,36,EU,Ukraine,UA,Crimea,UA-43,43,Novofedorivka,0,UKFI,NA,NA,NA,https://en.wikipedia.org/wiki/Novofedorivka,"Аэродом Саки, URFI",0,2021-03-19T15:47:28Z
326004,UA-0120,small_airport,Novopavlivka Airstrip,48.13629,36.73524,NA,EU,Ukraine,UA,Dnipropetrovsk,UA-12,12,Novopavlivka,0,NA,NA,NA,NA,NA,NA,0,2021-04-11T13:48:13Z
46274,UA-0066,closed,Ochakiv Air Base,46.647786,31.553764,NA,EU,Ukraine,UA,Mykolaiv,UA-48,48,Ochakiv,0,NA,NA,NA,NA,NA,"Ochakov Air Base, Аеродром Очакiв, Аэродром Очаков",0,2019-01-01T05:27:08Z
46269,UA-0061,closed,Dalnik Airfield,46.4921290263,30.6201839447,NA,EU,Ukraine,UA,Odessa,UA-51,51,Odessa,0,NA,NA,NA,NA,NA,"Zastava Airfield, Аэродром Дальник, Аэродром Застава",0,2010-06-27T06:53:35Z
320475,UA-0087,closed,Krasni Okny Airfield,47.549189,29.428682,NA,EU,Ukraine,UA,Odessa,UA-51,51,Okny,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T15:58:24Z
44294,UA-0010,medium_airport,Oktyabrskoe Air Base,45.31999969482422,34.099998474121094,NA,EU,Ukraine,UA,Crimea,UA-43,43,Oktyabrskoe,0,NA,NA,NA,NA,NA,"Oktyabrskoye Air Base, Аэродром Октябрьское",0,2009-04-19T18:28:33Z
342216,UA-0148,closed,Oleksandrivka Airfield,46.3069,31.9753,3,EU,Ukraine,UA,Kherson,UA-65,65,Oleksandrivka,0,NA,NA,NA,NA,NA,NA,0,2021-03-22T06:56:12Z
44394,UA-0031,heliport,Oleksandriya Air Base,48.68000030517578,33.18000030517578,NA,EU,Ukraine,UA,Kirovohrad,UA-35,35,Oleksandriya,0,NA,NA,NA,NA,NA,"Aleksandriya Air Base, Alexandriya Air Base, Аэродром Александрия, Аэродром Олександрия, Аэродром Олександрiя",0,2009-04-24T17:22:34Z
340333,UA-0138,closed,Oleksiivka Airfield,46.2626,32.218,NA,EU,Ukraine,UA,Kherson,UA-65,65,Oleksiivka,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T15:26:58Z
324103,UA-0117,small_airport,Orekhovo Airfield,48.20211,35.021351,489,EU,Ukraine,UA,Dnipropetrovsk,UA-12,12,Orekhovo,0,UKYO,NA,NA,NA,NA,NA,0,2021-04-11T13:47:39Z
44600,UA-0009,small_airport,Gora Klementyeva Airfield,45.012616,35.247767,NA,EU,Ukraine,UA,Crimea,UA-43,43,Otvazhnoe,0,NA,NA,NA,NA,NA,"Uzun-Syrt Airfield, Аэродром Гора Клементьева, Аэродром Узун-Сырт",0,2021-01-27T15:47:16Z
340324,UA-0129,small_airport,Koktebel Gliding Center,45.020896,35.206845,801,EU,Ukraine,UA,Crimea,UA-43,43,Otvazhnoe,0,NA,NA,NA,NA,NA,NA,0,2021-03-19T16:57:30Z
44314,UA-0023,closed,Chkalovskiy Airfield,45.073002,35.202999,NA,EU,Ukraine,UA,Crimea,UA-43,43,Pervomaiske,0,NA,NA,NA,NA,NA,"Chkalovsky Airfield, Аэродром Чкаловский",0,2021-01-27T15:42:52Z
44368,UA-0026,closed,Blagoyevo Air Base,46.89500045776367,30.700000762939453,NA,EU,Ukraine,UA,Odessa,UA-51,51,Petrovka,0,NA,NA,NA,NA,NA,"Blagoevo Air Base, Buyalik Air Base, Buyalyk Air Base, Аэродром Благоево, Аэродром Буялык",0,2009-04-24T12:05:25Z
320732,UA-0093,closed,Pishchanka Airstrip,48.200516,28.863063,NA,EU,Ukraine,UA,Vinnytsia,UA-05,05,Pishchanka,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:03:02Z
340328,UA-0133,closed,Pochetnoye Airfield,45.999861,33.78224,NA,EU,Ukraine,UA,Crimea,UA-43,43,Pochetnoye,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:11:28Z
318220,UA-0086,small_airport,Pohrebyshche,49.4943236,29.2417992,NA,EU,Ukraine,UA,Vinnytsia,UA-05,05,Pohrebyshche,0,NA,NA,NA,NA,NA,NA,0,2016-06-02T11:31:41Z
45177,UA-0048,small_airport,Poltava Air Base,49.627,34.487,NA,EU,Ukraine,UA,Poltava,UA-53,53,Poltava,0,NA,NA,NA,NA,NA,Аэродром Полтава,0,2009-11-18T14:13:25Z
340329,UA-0134,closed,Chervonyi Chaban Airfield,46.18,33.5934,NA,EU,Ukraine,UA,Kherson,UA-65,65,Preobrazhenka,0,NA,NA,NA,NA,NA,NA,0,2021-01-27T16:13:26Z
